Depth,Ice age (a B1950),Ice age std (a),Gas age (a B1950),Gas age std (a),Accu. Rate (m ie),Thinning,LIDIE
228.00,9695.49,554.49,6408.16,599.91,0.0225,0.8902,71.98
230.00,9795.15,578.72,6544.88,540.34,0.0238,0.8897,71.50
232.00,9889.71,599.92,6668.52,532.03,0.0217,0.8893,71.26
234.00,9993.12,596.36,6778.48,580.18,0.0215,0.8888,71.39
236.00,10097.90,567.86,6874.26,575.83,0.0223,0.8884,71.68
238.00,10198.80,527.87,6967.32,580.55,0.0221,0.8883,71.83
240.00,10300.50,545.26,7065.79,590.72,0.0221,0.8880,71.98
242.00,10402.60,562.72,7163.84,592.18,0.0239,0.8874,72.43
244.00,10497.10,577.96,7250.39,545.44,0.0218,0.8866,72.26
246.00,10600.80,624.16,7359.41,552.12,0.0218,0.8859,72.43
248.00,10704.10,600.15,7454.01,578.59,0.0217,0.8855,72.56
250.00,10808.00,584.42,7552.87,548.21,0.0216,0.8847,72.68
252.00,10912.40,569.50,7649.41,538.73,0.0217,0.8837,72.88
254.00,11016.70,573.00,7740.87,558.45,0.0226,0.8830,73.74
256.00,11116.90,576.35,7804.27,594.80,0.0226,0.8821,74.55
258.00,11217.40,574.58,7871.55,603.89,0.0230,0.8813,75.36
260.00,11316.00,583.38,7941.04,627.82,0.0235,0.8806,76.18
262.00,11412.80,648.35,8011.77,621.38,0.0249,0.8795,77.15
264.00,11504.00,669.44,8076.63,624.34,0.0228,0.8785,77.53
266.00,11603.80,709.77,8167.45,611.05,0.0225,0.8775,78.19
268.00,11705.00,757.11,8242.76,548.77,0.0212,0.8763,78.64
270.00,11812.80,770.64,8321.29,604.05,0.0206,0.8750,75.32
272.00,11923.60,800.37,8574.87,591.10,0.0204,0.8736,72.07
274.00,12035.80,828.48,8830.78,556.90,0.0195,0.8722,72.58
276.00,12153.50,849.38,8914.81,604.21,0.0188,0.8709,73.11
278.00,12275.50,881.08,8995.19,611.81,0.0191,0.8695,73.81
280.00,12395.80,926.39,9027.42,639.12,0.0185,0.8680,77.25
282.00,12520.50,974.66,9073.11,641.12,0.0179,0.8664,77.03
284.00,12649.60,1076.67,9148.57,625.90,0.0169,0.8647,76.77
286.00,12786.30,1153.99,9269.97,595.25,0.0175,0.8630,75.36
288.00,12918.80,1264.67,9440.06,576.45,0.0167,0.8611,71.12
290.00,13058.20,1324.24,9733.11,551.25,0.0174,0.8593,71.21
292.00,13192.30,1369.76,9833.21,595.57,0.0179,0.8574,71.03
294.00,13322.40,1448.87,9946.21,604.27,0.0175,0.8554,70.86
296.00,13456.00,1433.29,10065.90,584.09,0.0171,0.8535,70.68
298.00,13592.90,1391.11,10182.30,525.04,0.0174,0.8517,66.77
300.00,13728.00,1401.89,10456.10,571.87,0.0179,0.8498,67.04
302.00,13859.20,1432.45,10550.40,585.89,0.0167,0.8489,69.05
304.00,14000.30,1378.59,10568.70,604.99,0.0169,0.8477,71.34
306.00,14139.90,1304.03,10576.20,625.64,0.0179,0.8465,73.79
308.00,14272.00,1257.97,10576.70,635.22,0.0194,0.8452,75.10
310.00,14394.10,1288.97,10627.90,611.70,0.0193,0.8444,71.17
312.00,14516.80,1370.64,10907.60,569.34,0.0188,0.8439,68.62
314.00,14642.90,1425.46,11121.70,576.51,0.0180,0.8433,69.54
316.00,14774.80,1467.18,11185.10,571.68,0.0172,0.8431,70.46
318.00,14912.70,1482.06,11246.90,577.24,0.0165,0.8429,71.39
320.00,15056.70,1476.35,11307.50,576.28,0.0168,0.8439,72.91
322.00,15197.60,1450.65,11338.90,602.49,0.0162,0.8449,73.44
324.00,15343.50,1474.34,11410.20,647.77,0.0164,0.8455,72.37
326.00,15487.90,1482.25,11544.40,678.80,0.0156,0.8462,71.23
328.00,15639.50,1494.86,11691.20,755.38,0.0156,0.8473,70.32
330.00,15790.50,1594.68,11835.90,773.54,0.0146,0.8486,69.27
332.00,15952.20,1583.16,11992.00,821.29,0.0151,0.8496,68.60
334.00,16107.80,1623.74,12136.80,845.04,0.0151,0.8505,67.82
336.00,16264.00,1755.98,12294.50,886.00,0.0142,0.8512,67.22
338.00,16429.90,1734.09,12444.80,945.91,0.0143,0.8520,67.83
340.00,16593.70,1757.21,12534.00,979.82,0.0146,0.8529,68.45
342.00,16754.70,1834.65,12624.80,1073.07,0.0136,0.8538,68.87
344.00,16926.50,1903.35,12731.70,1088.60,0.0139,0.8548,69.56
346.00,17095.30,1945.15,12822.10,1196.93,0.0132,0.8554,70.12
348.00,17272.90,1997.30,12920.20,1265.65,0.0128,0.8558,70.86
350.00,17455.50,1986.33,13013.30,1289.66,0.0130,0.8563,71.72
352.00,17635.60,2075.56,13097.50,1354.45,0.0127,0.8568,72.43
354.00,17820.00,2216.90,13188.40,1366.32,0.0118,0.8574,72.93
356.00,18017.80,2127.64,13287.60,1452.91,0.0114,0.8582,72.22
358.00,18221.30,2157.42,13457.30,1433.14,0.0122,0.8589,71.33
360.00,18412.10,2196.76,13642.30,1375.77,0.0120,0.8593,70.07
362.00,18605.60,2207.28,13845.40,1437.72,0.0118,0.8598,68.74
364.00,18802.10,2211.49,14062.80,1354.71,0.0120,0.8603,68.40
366.00,18995.10,2236.86,14216.30,1253.85,0.0121,0.8608,68.05
368.00,19186.80,2347.08,14358.50,1264.37,0.0120,0.8612,67.58
370.00,19381.00,2248.30,14504.20,1365.17,0.0116,0.8616,67.03
372.00,19581.60,2315.00,14659.20,1432.53,0.0122,0.8620,66.46
374.00,19771.50,2366.07,14824.00,1481.96,0.0118,0.8623,65.45
376.00,19967.50,2298.43,15024.70,1482.19,0.0115,0.8627,64.51
378.00,20168.70,2226.53,15223.40,1445.93,0.0121,0.8630,63.84
380.00,20359.50,2200.73,15409.10,1489.84,0.0123,0.8632,63.09
382.00,20547.30,2180.15,15604.50,1471.03,0.0121,0.8634,62.60
384.00,20739.00,2114.83,15787.20,1595.52,0.0126,0.8635,63.34
386.00,20922.50,2177.99,15896.00,1567.37,0.0124,0.8636,64.04
388.00,21109.80,2164.25,16006.20,1598.31,0.0117,0.8637,64.69
390.00,21308.30,2042.26,16118.00,1626.29,0.0116,0.8637,65.53
392.00,21507.10,2016.53,16217.30,1748.61,0.0124,0.8636,66.58
394.00,21694.10,2065.00,16305.50,1762.55,0.0125,0.8636,67.46
396.00,21880.10,2109.26,16408.70,1737.52,0.0121,0.8635,67.84
398.00,22072.00,2128.01,16546.30,1715.27,0.0119,0.8634,68.14
400.00,22266.60,2135.97,16687.50,1840.15,0.0119,0.8635,68.48
402.00,22461.60,2154.83,16829.30,1828.56,0.0119,0.8642,68.90
404.00,22656.20,2208.76,16965.50,1933.41,0.0116,0.8648,69.23
406.00,22855.70,2250.52,17106.90,1946.20,0.0117,0.8654,69.67
408.00,23053.30,2283.21,17247.10,2003.14,0.0116,0.8661,70.03
410.00,23252.90,2288.86,17395.90,1969.47,0.0115,0.8668,69.88
412.00,23453.20,2319.32,17584.10,2022.74,0.0118,0.8673,69.58
414.00,23648.10,2434.84,17787.70,2231.47,0.0109,0.8680,68.93
416.00,23858.60,2504.94,18034.90,2119.90,0.0110,0.8688,68.54
418.00,24068.30,2522.06,18264.50,2166.11,0.0104,0.8695,67.98
420.00,24289.30,2465.28,18498.50,2214.69,0.0103,0.8701,67.55
422.00,24513.10,2429.82,18726.30,2198.93,0.0104,0.8710,68.14
424.00,24733.50,2408.34,18865.40,2221.98,0.0102,0.8716,68.91
426.00,24958.60,2434.63,18989.20,2234.19,0.0103,0.8722,69.78
428.00,25180.90,2450.64,19104.20,2286.49,0.0103,0.8730,70.61
430.00,25402.30,2454.26,19221.60,2372.60,0.0098,0.8738,70.93
432.00,25636.30,2488.66,19383.30,2246.47,0.0099,0.8747,70.53
434.00,25867.80,2502.97,19610.40,2324.96,0.0106,0.8754,70.35
436.00,26082.70,2336.92,19812.20,2376.44,0.0101,0.8762,69.74
438.00,26309.20,2253.41,20057.70,2253.16,0.0102,0.8770,69.34
440.00,26532.60,2292.42,20282.30,2199.29,0.0106,0.8778,69.02
442.00,26747.20,2337.87,20492.50,2203.22,0.0106,0.8787,68.52
444.00,26962.70,2175.22,20718.80,2107.91,0.0100,0.8795,67.88
446.00,27189.20,2075.13,20950.70,2187.70,0.0114,0.8803,68.03
448.00,27388.20,2064.69,21121.40,2162.55,0.0116,0.8811,67.88
450.00,27583.50,2080.76,21327.30,2030.01,0.0118,0.8819,67.72
452.00,27776.10,2100.19,21533.40,2014.57,0.0111,0.8827,67.31
454.00,27980.90,2106.29,21748.40,2082.02,0.0114,0.8835,67.21
456.00,28179.20,2112.41,21939.60,2121.56,0.0112,0.8844,67.75
458.00,28381.80,2071.94,22080.10,2128.40,0.0114,0.8853,68.70
460.00,28580.10,1999.78,22186.70,2137.24,0.0124,0.8861,69.87
462.00,28762.20,2162.98,22275.30,2135.84,0.0122,0.8870,70.70
464.00,28947.10,2111.72,22392.40,2137.46,0.0121,0.8878,71.55
466.00,29133.90,2108.71,22507.90,2166.44,0.0124,0.8887,72.17
468.00,29315.40,2086.62,22642.50,2205.89,0.0119,0.8896,71.47
470.00,29503.70,2039.03,22897.00,2259.19,0.0116,0.8905,70.80
