"County" "Year" "JanAvgMaxTemp" "FebAvgMaxTemp" "MarAvgMaxTemp" "AprAvgMaxTemp" "JanAvgMinTemp" "FebAvgMinTemp" "MarAvgMinTemp" "AprAvgMinTemp" "JanTotalPrecip" "FebTotalPrecip" "MarTotalPrecip" "AprTotalPrecip" "AprTotalGDD" "CornYield" "SoybeanYield"
"419" "big stone" 1980 23.4 22.6 33.2 62.1 4.5 4.1 14.6 36.3 0.59 0.78 1.23 0.38 128 72 24
"420" "big stone" 1981 28 31.6 48.8 62.1 4.3 11.7 24.3 37.7 0.57 0.94 0.85 1.07 91 85 27
"421" "big stone" 1982 5.8 21.8 34.5 51.9 -14.1 3.2 18.7 30.9 1.59 0.31 0.79 1.43 40 83 27
"422" "big stone" 1983 26.6 30.4 36.1 50.4 8.1 16.7 25.5 32.3 0.47 0.31 2.18 0.62 19 75 32
"423" "big stone" 1984 21.5 32.1 30.5 54.3 4.4 19.9 13.7 35.7 0.67 0.7 1.68 2.54 16 87 30
"424" "big stone" 1985 19.5 23 41.7 61.6 -1.8 5 25 37 0.3 0.51 2.26 2.14 110 100 31
"425" "big stone" 1986 24.4 22.1 41.6 54.5 6.9 4.3 23.4 35.9 0.78 0.95 0.53 4.66 33 87 33
"426" "big stone" 1987 30.5 41.4 42.2 67.7 12 22.2 24.6 39.2 0.41 0.66 1.07 0.82 179 93 31
"427" "big stone" 1988 20.2 24.9 39.9 60.2 -2.9 1.4 21.4 33.5 0.94 0.17 0.86 0.54 67 38 14
"428" "big stone" 1989 29.6 15.9 32 53.4 6.5 -6.8 14.8 33.8 0.71 0.57 2.01 2.55 61 116 34
"429" "big stone" 1990 36.4 31.6 41 56.9 13.9 9.2 23.1 32.6 0.07 0.43 2.14 1.94 123 101 34
"430" "big stone" 1991 20.6 34.8 39.7 58.3 -0.2 14.7 21.6 38 0.24 0.69 1.62 3.43 89 110 38
"431" "big stone" 1992 28.9 34.1 41 51.4 11.2 19.6 25.5 33.2 0.66 0.51 1.15 1.6 63 102 25
"432" "big stone" 1993 17.5 19.7 33.9 51.2 -2.3 4.3 15 32.7 1.01 0.26 1.58 2.1 22 53 19
